	word	zstat	pvalue	f1_count	f2_count
0	need	3.220686264084146	0.000639420301536494	14	16
1	back	2.624663878410291	0.004336727122416229	2	0
2	however	2.624663878410291	0.004336727122416229	2	0
3	lose	2.624663878410291	0.004336727122416229	2	0
4	really	2.624663878410291	0.004336727122416229	2	0
5	higher	2.5168471917348456	0.005920508600695421	3	1
6	icu	2.0443807851486038	0.020457972018852643	14	25
7	admitted	2.010511695379591	0.02218852982675948	3	2
8	even	2.010511695379591	0.02218852982675948	3	2
9	financial	2.010511695379591	0.02218852982675948	3	2
10	taken	2.010511695379591	0.02218852982675948	3	2
11	almost	1.8548032960513599	0.03181216060267976	1	0
12	anything	1.8548032960513599	0.03181216060267976	1	0
13	appreciated	1.8548032960513599	0.03181216060267976	1	0
14	chaces	1.8548032960513599	0.03181216060267976	1	0
15	compated	1.8548032960513599	0.03181216060267976	1	0
16	covered	1.8548032960513599	0.03181216060267976	1	0
17	deems	1.8548032960513599	0.03181216060267976	1	0
18	drastic	1.8548032960513599	0.03181216060267976	1	0
19	enough	1.8548032960513599	0.03181216060267976	1	0
20	except	1.8548032960513599	0.03181216060267976	1	0
21	expensive	1.8548032960513599	0.03181216060267976	1	0
22	extra	1.8548032960513599	0.03181216060267976	1	0
23	geater	1.8548032960513599	0.03181216060267976	1	0
24	healthcare	1.8548032960513599	0.03181216060267976	1	0
25	healthy	1.8548032960513599	0.03181216060267976	1	0
26	huy	1.8548032960513599	0.03181216060267976	1	0
27	implication	1.8548032960513599	0.03181216060267976	1	0
28	insurence	1.8548032960513599	0.03181216060267976	1	0
29	machince	1.8548032960513599	0.03181216060267976	1	0
30	made	1.8548032960513599	0.03181216060267976	1	0
31	mend	1.8548032960513599	0.03181216060267976	1	0
32	morbidity	1.8548032960513599	0.03181216060267976	1	0
33	mortality	1.8548032960513599	0.03181216060267976	1	0
34	moved	1.8548032960513599	0.03181216060267976	1	0
35	much	1.8548032960513599	0.03181216060267976	1	0
36	next	1.8548032960513599	0.03181216060267976	1	0
37	nonexistent	1.8548032960513599	0.03181216060267976	1	0
38	okay	1.8548032960513599	0.03181216060267976	1	0
39	perhaps	1.8548032960513599	0.03181216060267976	1	0
40	positively	1.8548032960513599	0.03181216060267976	1	0
41	possibility	1.8548032960513599	0.03181216060267976	1	0
42	predicted	1.8548032960513599	0.03181216060267976	1	0
43	put	1.8548032960513599	0.03181216060267976	1	0
44	realistically	1.8548032960513599	0.03181216060267976	1	0
45	reflect	1.8548032960513599	0.03181216060267976	1	0
46	regardless	1.8548032960513599	0.03181216060267976	1	0
47	safe	1.8548032960513599	0.03181216060267976	1	0
48	situation	1.8548032960513599	0.03181216060267976	1	0
49	soon	1.8548032960513599	0.03181216060267976	1	0
50	stuck	1.8548032960513599	0.03181216060267976	1	0
51	taking	1.8548032960513599	0.03181216060267976	1	0
52	tothe	1.8548032960513599	0.03181216060267976	1	0
53	waste	1.8548032960513599	0.03181216060267976	1	0
54	available	1.8322966004350276	0.03345362166024189	2	1
55	still	1.8322966004350276	0.03345362166024189	2	1
