	word	zstat	pvalue	f1_count	f2_count	f1_prop	f2_prop
0	fraudulent	5.302650517258218	5.706664630715934e-08	24	0	0.04285714285714286	0.0
1	money	3.3172860343741495	0.00045448253702652647	16	3	0.02857142857142857	0.004665629860031105
2	allowing	2.843332942882396	0.002232220335254146	7	0	0.0125	0.0
3	credit	2.401048207478124	0.008174091316908232	5	0	0.008928571428571428	0.0
4	issue	2.3297579502681645	0.009909473886911397	7	1	0.0125	0.0015552099533437014
5	payment	2.176190967946445	0.01477049200312065	34	22	0.060714285714285714	0.03421461897356143
6	caught	2.1466670527223486	0.01590989877317783	4	0	0.007142857142857143	0.0
7	person	1.9856902930841418	0.02353386175030629	9	3	0.01607142857142857	0.004665629860031105
8	one	1.8851897351139393	0.029702113096660272	7	2	0.0125	0.003110419906687403
9	accepting	1.8582934279294305	0.031563678306484044	3	0	0.005357142857142857	0.0
10	allowed	1.8582934279294305	0.031563678306484044	3	0	0.005357142857142857	0.0
11	allows	1.8582934279294305	0.031563678306484044	3	0	0.005357142857142857	0.0
12	even	1.8582934279294305	0.031563678306484044	3	0	0.005357142857142857	0.0
13	getting	1.8582934279294305	0.031563678306484044	3	0	0.005357142857142857	0.0
14	owner	1.8582934279294305	0.031563678306484044	3	0	0.005357142857142857	0.0
15	want	1.8582934279294305	0.031563678306484044	3	0	0.005357142857142857	0.0
16	loss	1.810819400485088	0.03508440609609284	5	1	0.008928571428571428	0.0015552099533437014
17	get	1.7485446501841406	0.040184880531999714	8	3	0.014285714285714285	0.004665629860031105
18	impact	1.7485446501841406	0.040184880531999714	8	3	0.014285714285714285	0.004665629860031105
19	actually	1.5166584208557035	0.06467647359642104	2	0	0.0035714285714285713	0.0
20	always	1.5166584208557035	0.06467647359642104	2	0	0.0035714285714285713	0.0
21	benefit	1.5166584208557035	0.06467647359642104	2	0	0.0035714285714285713	0.0
22	card	1.5166584208557035	0.06467647359642104	2	0	0.0035714285714285713	0.0
23	company	1.5166584208557035	0.06467647359642104	2	0	0.0035714285714285713	0.0
24	crime	1.5166584208557035	0.06467647359642104	2	0	0.0035714285714285713	0.0
25	end	1.5166584208557035	0.06467647359642104	2	0	0.0035714285714285713	0.0
26	fixed	1.5166584208557035	0.06467647359642104	2	0	0.0035714285714285713	0.0
27	heshe	1.5166584208557035	0.06467647359642104	2	0	0.0035714285714285713	0.0
28	larger	1.5166584208557035	0.06467647359642104	2	0	0.0035714285714285713	0.0
29	potential	1.5166584208557035	0.06467647359642104	2	0	0.0035714285714285713	0.0
30	term	1.5166584208557035	0.06467647359642104	2	0	0.0035714285714285713	0.0
31	though	1.5166584208557035	0.06467647359642104	2	0	0.0035714285714285713	0.0
32	view	1.5166584208557035	0.06467647359642104	2	0	0.0035714285714285713	0.0
33	whether	1.5166584208557035	0.06467647359642104	2	0	0.0035714285714285713	0.0
34	income	1.5026155500609597	0.06646910556284878	4	1	0.007142857142857143	0.0015552099533437014
35	paid	1.3234353511083357	0.09284532108912796	5	2	0.008928571428571428	0.003110419906687403
36	fraud	1.2144168125046315	0.11229429925493295	6	3	0.010714285714285714	0.004665629860031105
37	individual	1.1514927044404655	0.12476479746215646	15	11	0.026785714285714284	0.017107309486780714
38	group	1.1426077741745317	0.12660073816103745	3	1	0.005357142857142857	0.0015552099533437014
39	transaction	1.1426077741745317	0.12660073816103745	3	1	0.005357142857142857	0.0015552099533437014
40	without	1.1426077741745317	0.12660073816103745	3	1	0.005357142857142857	0.0015552099533437014
41	accepted	1.0719932550458506	0.14186153084615505	1	0	0.0017857142857142857	0.0
42	accidental	1.0719932550458506	0.14186153084615505	1	0	0.0017857142857142857	0.0
43	account	1.0719932550458506	0.14186153084615505	1	0	0.0017857142857142857	0.0
44	accuse	1.0719932550458506	0.14186153084615505	1	0	0.0017857142857142857	0.0
45	action	1.0719932550458506	0.14186153084615505	1	0	0.0017857142857142857	0.0
46	advance	1.0719932550458506	0.14186153084615505	1	0	0.0017857142857142857	0.0
47	afterwards	1.0719932550458506	0.14186153084615505	1	0	0.0017857142857142857	0.0
48	alienation	1.0719932550458506	0.14186153084615505	1	0	0.0017857142857142857	0.0
49	answer	1.0719932550458506	0.14186153084615505	1	0	0.0017857142857142857	0.0
50	anywhere	1.0719932550458506	0.14186153084615505	1	0	0.0017857142857142857	0.0
51	assume	1.0719932550458506	0.14186153084615505	1	0	0.0017857142857142857	0.0
52	attempting	1.0719932550458506	0.14186153084615505	1	0	0.0017857142857142857	0.0
53	avoided	1.0719932550458506	0.14186153084615505	1	0	0.0017857142857142857	0.0
54	away	1.0719932550458506	0.14186153084615505	1	0	0.0017857142857142857	0.0
55	badly	1.0719932550458506	0.14186153084615505	1	0	0.0017857142857142857	0.0
56	basically	1.0719932550458506	0.14186153084615505	1	0	0.0017857142857142857	0.0
57	best	1.0719932550458506	0.14186153084615505	1	0	0.0017857142857142857	0.0
58	bigger	1.0719932550458506	0.14186153084615505	1	0	0.0017857142857142857	0.0
59	break	1.0719932550458506	0.14186153084615505	1	0	0.0017857142857142857	0.0
60	bring	1.0719932550458506	0.14186153084615505	1	0	0.0017857142857142857	0.0
61	bureau	1.0719932550458506	0.14186153084615505	1	0	0.0017857142857142857	0.0
62	case	1.0719932550458506	0.14186153084615505	1	0	0.0017857142857142857	0.0
63	catching	1.0719932550458506	0.14186153084615505	1	0	0.0017857142857142857	0.0
64	causing	1.0719932550458506	0.14186153084615505	1	0	0.0017857142857142857	0.0
65	certain	1.0719932550458506	0.14186153084615505	1	0	0.0017857142857142857	0.0
66	collect	1.0719932550458506	0.14186153084615505	1	0	0.0017857142857142857	0.0
67	commodity	1.0719932550458506	0.14186153084615505	1	0	0.0017857142857142857	0.0
68	condition	1.0719932550458506	0.14186153084615505	1	0	0.0017857142857142857	0.0
69	continues	1.0719932550458506	0.14186153084615505	1	0	0.0017857142857142857	0.0
70	cost	1.0719932550458506	0.14186153084615505	1	0	0.0017857142857142857	0.0
71	coud	1.0719932550458506	0.14186153084615505	1	0	0.0017857142857142857	0.0
72	cover	1.0719932550458506	0.14186153084615505	1	0	0.0017857142857142857	0.0
73	create	1.0719932550458506	0.14186153084615505	1	0	0.0017857142857142857	0.0
74	credibility	1.0719932550458506	0.14186153084615505	1	0	0.0017857142857142857	0.0
75	criminal	1.0719932550458506	0.14186153084615505	1	0	0.0017857142857142857	0.0
76	current	1.0719932550458506	0.14186153084615505	1	0	0.0017857142857142857	0.0
77	damage	1.0719932550458506	0.14186153084615505	1	0	0.0017857142857142857	0.0
78	detect	1.0719932550458506	0.14186153084615505	1	0	0.0017857142857142857	0.0
79	detrimental	1.0719932550458506	0.14186153084615505	1	0	0.0017857142857142857	0.0
80	domino	1.0719932550458506	0.14186153084615505	1	0	0.0017857142857142857	0.0
81	drama	1.0719932550458506	0.14186153084615505	1	0	0.0017857142857142857	0.0
82	effecting	1.0719932550458506	0.14186153084615505	1	0	0.0017857142857142857	0.0
83	especially	1.0719932550458506	0.14186153084615505	1	0	0.0017857142857142857	0.0
84	essentially	1.0719932550458506	0.14186153084615505	1	0	0.0017857142857142857	0.0
85	everything	1.0719932550458506	0.14186153084615505	1	0	0.0017857142857142857	0.0
86	expense	1.0719932550458506	0.14186153084615505	1	0	0.0017857142857142857	0.0
87	extremely	1.0719932550458506	0.14186153084615505	1	0	0.0017857142857142857	0.0
88	falsely	1.0719932550458506	0.14186153084615505	1	0	0.0017857142857142857	0.0
89	financially	1.0719932550458506	0.14186153084615505	1	0	0.0017857142857142857	0.0
90	fix	1.0719932550458506	0.14186153084615505	1	0	0.0017857142857142857	0.0
91	fraudulently	1.0719932550458506	0.14186153084615505	1	0	0.0017857142857142857	0.0
92	freebie	1.0719932550458506	0.14186153084615505	1	0	0.0017857142857142857	0.0
93	frustrating	1.0719932550458506	0.14186153084615505	1	0	0.0017857142857142857	0.0
94	got	1.0719932550458506	0.14186153084615505	1	0	0.0017857142857142857	0.0
95	greater	1.0719932550458506	0.14186153084615505	1	0	0.0017857142857142857	0.0
96	harder	1.0719932550458506	0.14186153084615505	1	0	0.0017857142857142857	0.0
97	harm	1.0719932550458506	0.14186153084615505	1	0	0.0017857142857142857	0.0
98	hisher	1.0719932550458506	0.14186153084615505	1	0	0.0017857142857142857	0.0
99	holder	1.0719932550458506	0.14186153084615505	1	0	0.0017857142857142857	0.0
100	hope	1.0719932550458506	0.14186153084615505	1	0	0.0017857142857142857	0.0
101	humiliation	1.0719932550458506	0.14186153084615505	1	0	0.0017857142857142857	0.0
102	idea	1.0719932550458506	0.14186153084615505	1	0	0.0017857142857142857	0.0
103	impacted	1.0719932550458506	0.14186153084615505	1	0	0.0017857142857142857	0.0
104	inevitably	1.0719932550458506	0.14186153084615505	1	0	0.0017857142857142857	0.0
105	instead	1.0719932550458506	0.14186153084615505	1	0	0.0017857142857142857	0.0
106	involving	1.0719932550458506	0.14186153084615505	1	0	0.0017857142857142857	0.0
107	jump	1.0719932550458506	0.14186153084615505	1	0	0.0017857142857142857	0.0
108	keep	1.0719932550458506	0.14186153084615505	1	0	0.0017857142857142857	0.0
109	knowing	1.0719932550458506	0.14186153084615505	1	0	0.0017857142857142857	0.0
110	landowner	1.0719932550458506	0.14186153084615505	1	0	0.0017857142857142857	0.0
111	last	1.0719932550458506	0.14186153084615505	1	0	0.0017857142857142857	0.0
112	leech	1.0719932550458506	0.14186153084615505	1	0	0.0017857142857142857	0.0
