	word	zstat	pvalue	f1_count	f2_count	f1_prop	f2_prop
0	denied	2.9220868251025975	0.0017384729959716112	12	1	0.013377926421404682	0.0012062726176115801
1	mistake	2.725428877385338	0.003210900516585685	8	0	0.008918617614269788	0.0
2	denying	2.5486636276130037	0.005406827247143769	7	0	0.007803790412486065	0.0
3	credit	2.414108802007119	0.007886875659489357	9	1	0.010033444816053512	0.0012062726176115801
4	need	2.152761938919988	0.015668696416513105	5	0	0.005574136008918618	0.0
5	whole	2.152761938919988	0.015668696416513105	5	0	0.005574136008918618	0.0
6	rent	2.0319822056636654	0.02107772870106401	13	4	0.014492753623188406	0.0048250904704463205
7	home	1.924929647706721	0.027119080122856198	4	0	0.004459308807134894	0.0
8	situation	1.924929647706721	0.027119080122856198	4	0	0.004459308807134894	0.0
9	trying	1.924929647706721	0.027119080122856198	4	0	0.004459308807134894	0.0
10	renter	1.9197035242123133	0.027447679425148332	25	12	0.027870680044593088	0.014475271411338963
11	bad	1.8076195043364762	0.035332870243195244	10	3	0.011148272017837236	0.0036188178528347406
12	transaction	1.8076195043364762	0.035332870243195244	10	3	0.011148272017837236	0.0036188178528347406
13	good	1.6665541449052406	0.04780154666531417	3	0	0.0033444816053511705	0.0
14	help	1.6665541449052406	0.04780154666531417	3	0	0.0033444816053511705	0.0
15	homeless	1.6665541449052406	0.04780154666531417	3	0	0.0033444816053511705	0.0
16	loan	1.6665541449052406	0.04780154666531417	3	0	0.0033444816053511705	0.0
17	put	1.6665541449052406	0.04780154666531417	3	0	0.0033444816053511705	0.0
18	race	1.6665541449052406	0.04780154666531417	3	0	0.0033444816053511705	0.0
19	reputation	1.6665541449052406	0.04780154666531417	3	0	0.0033444816053511705	0.0
20	result	1.6665541449052406	0.04780154666531417	3	0	0.0033444816053511705	0.0
21	something	1.6665541449052406	0.04780154666531417	3	0	0.0033444816053511705	0.0
22	stressed	1.6665541449052406	0.04780154666531417	3	0	0.0033444816053511705	0.0
