	word	zstat	pvalue	f1_count	f2_count	f1_prop	f2_prop
0	death	3.719846122486046	9.967209602915647e-05	11	0	0.023809523809523808	0.0
1	could	2.8361142800067634	0.0022833051214601876	32	18	0.06926406926406926	0.03130434782608696
2	die	2.4695905099321243	0.006763389729655935	12	4	0.025974025974025976	0.006956521739130435
3	help	2.2355384694427176	0.012691009501154824	4	0	0.008658008658008658	0.0
4	miss	1.9350966929933089	0.026489215634232177	3	0	0.006493506493506494	0.0
5	treatment	1.7394627519962473	0.04097669929379948	6	2	0.012987012987012988	0.0034782608695652175
6	get	1.6857964268625778	0.045917508126140094	11	6	0.023809523809523808	0.010434782608695653
