	word	zstat	pvalue	f1_count	f2_count	f1_prop	f2_prop
0	unauthorized	4.524323344994009	3.0294517539487533e-06	18	2	0.030874785591766724	0.0023501762632197414
1	user	4.175485025665625	1.4867590733380615e-05	14	1	0.024013722126929673	0.0011750881316098707
2	access	4.166461753880104	1.5468188318814093e-05	34	15	0.058319039451114926	0.01762632197414806
3	information	3.709638295720243	0.00010377777951979613	15	3	0.025728987993138937	0.0035252643948296123
4	dangerous	3.6359583596491905	0.00013847453497053185	9	0	0.015437392795883362	0.0
5	record	3.2043659762512053	0.000676801472552821	7	0	0.012006861063464836	0.0
6	harm	2.4329943445667626	0.007487267389962695	6	1	0.010291595197255575	0.0011750881316098707
7	know	2.4329943445667626	0.007487267389962695	6	1	0.010291595197255575	0.0011750881316098707
8	allowing	2.419730815274817	0.007766000016458206	4	0	0.00686106346483705	0.0
9	supposed	2.419730815274817	0.007766000016458206	4	0	0.00686106346483705	0.0
10	mistakenly	2.1327426889194507	0.016472919973672437	5	1	0.008576329331046312	0.0011750881316098707
11	sensitive	2.1327426889194507	0.016472919973672437	5	1	0.008576329331046312	0.0011750881316098707
12	break	2.094816031196759	0.01809367473289394	3	0	0.005145797598627788	0.0
13	confidential	2.094816031196759	0.01809367473289394	3	0	0.005145797598627788	0.0
14	drug	2.094816031196759	0.01809367473289394	3	0	0.005145797598627788	0.0
15	grant	2.094816031196759	0.01809367473289394	3	0	0.005145797598627788	0.0
16	likely	2.094816031196759	0.01809367473289394	3	0	0.005145797598627788	0.0
17	unsafe	2.094816031196759	0.01809367473289394	3	0	0.005145797598627788	0.0
18	people	1.8043653369958064	0.03558702665335774	17	13	0.029159519725557463	0.01527614571092832
19	could	1.798952256603738	0.036013116655757765	26	23	0.044596912521440824	0.02702702702702703
20	data	1.79422741342308	0.03638843916140598	4	1	0.00686106346483705	0.0011750881316098707
21	others	1.79422741342308	0.03638843916140598	4	1	0.00686106346483705	0.0011750881316098707
22	problem	1.79422741342308	0.03638843916140598	4	1	0.00686106346483705	0.0011750881316098707
23	want	1.79422741342308	0.03638843916140598	4	1	0.00686106346483705	0.0011750881316098707
24	someone	1.7889099260126193	0.03681466148671246	10	6	0.017152658662092625	0.007050528789659225
25	accidentally	1.709812812606833	0.04365024647831347	2	0	0.003430531732418525	0.0
26	anyways	1.709812812606833	0.04365024647831347	2	0	0.003430531732418525	0.0
27	consequence	1.709812812606833	0.04365024647831347	2	0	0.003430531732418525	0.0
28	damage	1.709812812606833	0.04365024647831347	2	0	0.003430531732418525	0.0
29	end	1.709812812606833	0.04365024647831347	2	0	0.003430531732418525	0.0
30	equipment	1.709812812606833	0.04365024647831347	2	0	0.003430531732418525	0.0
31	harmful	1.709812812606833	0.04365024647831347	2	0	0.003430531732418525	0.0
32	identity	1.709812812606833	0.04365024647831347	2	0	0.003430531732418525	0.0
33	job	1.709812812606833	0.04365024647831347	2	0	0.003430531732418525	0.0
34	let	1.709812812606833	0.04365024647831347	2	0	0.003430531732418525	0.0
35	loss	1.709812812606833	0.04365024647831347	2	0	0.003430531732418525	0.0
36	personnel	1.709812812606833	0.04365024647831347	2	0	0.003430531732418525	0.0
37	privacy	1.709812812606833	0.04365024647831347	2	0	0.003430531732418525	0.0
38	setting	1.709812812606833	0.04365024647831347	2	0	0.003430531732418525	0.0
39	small	1.709812812606833	0.04365024647831347	2	0	0.003430531732418525	0.0
40	stolen	1.709812812606833	0.04365024647831347	2	0	0.003430531732418525	0.0
41	stranger	1.709812812606833	0.04365024647831347	2	0	0.003430531732418525	0.0
42	theft	1.709812812606833	0.04365024647831347	2	0	0.003430531732418525	0.0
43	threat	1.709812812606833	0.04365024647831347	2	0	0.003430531732418525	0.0
44	trouble	1.709812812606833	0.04365024647831347	2	0	0.003430531732418525	0.0
45	wrong	1.709812812606833	0.04365024647831347	2	0	0.003430531732418525	0.0
