	word	zstat	pvalue	f1_count	f2_count
0	society	3.2590178983759617	0.0005589930721403164	15	0
1	information	2.505884933634644	0.006107268131728102	9	0
2	patient	2.331792934047227	0.009855793469014194	14	2
